Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,1.1266,0.355,1.1,0.3669
2,1.0709,0.423,1.0349,0.4315
3,1.0408,0.4512,0.9647,0.5323
4,1.0081,0.4758,0.9824,0.4798
5,0.9962,0.4881,0.9338,0.5484
6,0.9801,0.504,0.8813,0.5766
7,0.9706,0.5148,0.8895,0.5927
8,0.9891,0.4982,0.8977,0.5444
9,0.956,0.5206,0.9156,0.5282
10,0.9916,0.517,0.9185,0.5645
11,0.9483,0.5199,0.9231,0.5645
12,0.9637,0.509,0.8959,0.5685
13,0.9655,0.5249,0.9103,0.5403
14,0.9384,0.5351,0.8499,0.6129
15,0.9774,0.4837,0.9623,0.504
16,0.943,0.5387,0.8702,0.5726
17,0.9398,0.5278,0.8664,0.5766
18,0.9339,0.5437,0.9514,0.5202
19,0.9299,0.5517,0.8966,0.5363
20,0.9259,0.5372,0.9572,0.5282
21,0.9345,0.5372,0.8689,0.6008
22,0.9353,0.5315,0.8575,0.6089
23,0.9129,0.5539,0.9507,0.5363
24,0.9006,0.564,0.8478,0.6048
25,0.9021,0.5792,0.8569,0.5524
26,0.9034,0.5633,0.8288,0.5685
27,0.8921,0.5589,0.842,0.6129
28,0.8999,0.5633,0.9071,0.5242
29,0.9159,0.5524,0.8857,0.5927
30,0.9283,0.5445,0.9047,0.5484
31,0.8961,0.5611,0.9202,0.5323
32,0.8859,0.5712,0.8223,0.5847
33,0.8881,0.5763,0.8247,0.5766
34,0.8788,0.5741,0.812,0.5847
35,0.8683,0.5857,0.8273,0.5927
36,0.8939,0.5734,0.8344,0.5766
37,0.8826,0.5813,0.7924,0.6573
38,0.8864,0.5785,0.8069,0.621
39,0.8635,0.5893,0.811,0.5968
40,0.8646,0.5792,0.7896,0.6129
41,0.8808,0.5719,0.8088,0.5927
42,0.883,0.5879,0.7719,0.629
43,0.8613,0.5973,0.8405,0.5927
44,0.8668,0.5698,0.7749,0.625
45,0.8637,0.5727,0.7835,0.6653
46,0.8645,0.5973,0.7832,0.6532
47,0.8584,0.5705,0.7707,0.6169
48,0.8586,0.5683,0.7936,0.625
49,0.849,0.5944,0.7654,0.6169
50,0.86,0.5973,0.8125,0.5968
