Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,2.0365,0.5018,0.9107,0.5927
2,0.9689,0.5611,0.8681,0.5847
3,0.8824,0.5785,0.7724,0.625
4,0.8527,0.59,0.9111,0.5847
5,0.8239,0.6081,0.7302,0.6653
6,0.8191,0.6182,0.7622,0.6573
7,0.7868,0.6349,0.7606,0.6411
8,0.7925,0.624,0.7775,0.6048
9,0.7666,0.6363,0.736,0.6694
10,0.7539,0.6435,0.7058,0.6855
11,0.749,0.6732,0.7557,0.6129
12,0.7383,0.6522,0.7761,0.6371
13,0.7285,0.6638,0.7872,0.6452
14,0.7576,0.6334,0.7409,0.6532
15,0.7343,0.6703,0.7006,0.6694
16,0.7309,0.6645,0.7617,0.6371
17,0.7623,0.637,0.7101,0.6532
18,0.7258,0.6753,0.7732,0.6492
19,0.7226,0.6667,0.7212,0.6895
20,0.6987,0.6746,0.9353,0.5806
21,0.6908,0.6862,0.7903,0.6492
22,0.7309,0.6631,0.8872,0.5806
23,0.7159,0.6862,0.732,0.6694
24,0.6601,0.7021,0.7474,0.6411
25,0.6794,0.6898,0.7696,0.6653
26,0.6755,0.6992,0.7471,0.6573
27,0.6598,0.705,0.7559,0.6411
28,0.6562,0.705,0.7381,0.6653
29,0.6828,0.692,0.7403,0.6653
30,0.6626,0.7028,0.8567,0.625
31,0.6593,0.7086,0.7712,0.6694
32,0.6703,0.6891,0.7806,0.625
33,0.6484,0.7245,0.7509,0.6734
34,0.6679,0.7108,0.7214,0.6694
35,0.6634,0.6992,0.7508,0.6694
36,0.6352,0.6941,0.8632,0.6129
37,0.6561,0.6992,0.7168,0.6532
38,0.6571,0.7101,0.7889,0.6532
39,0.6584,0.7115,0.8466,0.625
40,0.6352,0.7216,0.7526,0.6613
41,0.6235,0.7158,0.7802,0.6371
42,0.6173,0.7223,0.759,0.6976
43,0.5942,0.7397,0.8178,0.6653
44,0.6262,0.7274,0.9122,0.621
45,0.5977,0.7289,0.7866,0.6371
46,0.613,0.7332,0.8228,0.6492
47,0.6162,0.7245,0.9343,0.6129
48,0.583,0.7397,0.7944,0.6532
49,0.5807,0.7462,0.8089,0.6895
50,0.5808,0.7397,0.7602,0.6734
