Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,1.8047,0.3991,1.0265,0.4677
2,1.2535,0.4035,0.9657,0.5363
3,1.0545,0.4541,0.9135,0.5605
4,1.0299,0.4599,0.9423,0.5081
5,1.0215,0.4722,0.9335,0.5605
6,1.0135,0.4693,0.9295,0.5161
7,1.0081,0.4801,0.8966,0.5887
8,0.9933,0.4895,0.8904,0.6129
9,0.9951,0.4707,1.002,0.4677
10,0.98,0.5221,0.8726,0.6089
11,0.9889,0.483,0.9891,0.4718
12,0.9884,0.4931,0.8828,0.5887
13,0.9943,0.4823,0.8913,0.6089
14,0.9954,0.4751,0.8996,0.5524
15,0.9812,0.5047,0.8856,0.5766
16,0.9778,0.496,0.9412,0.5161
17,0.9652,0.5076,0.8665,0.5887
18,0.9611,0.5076,0.885,0.5726
19,0.9617,0.5242,0.8651,0.6371
20,0.9866,0.5033,0.8945,0.5766
21,0.9622,0.5155,0.9224,0.5444
22,0.9783,0.5127,0.8645,0.5806
23,0.9617,0.5206,0.8808,0.5726
24,0.9526,0.5192,0.8592,0.5887
25,0.9455,0.5329,0.8711,0.5806
26,0.9633,0.5192,0.8664,0.6089
27,0.9656,0.5141,0.8637,0.6008
28,0.9619,0.4946,0.882,0.5645
29,0.9635,0.5054,0.8612,0.5766
30,0.9522,0.5112,0.9227,0.5444
31,0.9578,0.5213,0.9106,0.5605
32,0.9636,0.5069,0.8844,0.5968
33,0.9506,0.5206,0.8682,0.6129
34,0.9562,0.5127,0.8497,0.6008
35,0.9606,0.5134,0.8552,0.6008
36,0.9661,0.5105,0.8699,0.5847
37,0.9361,0.53,0.8639,0.5968
38,0.9879,0.5018,0.9007,0.5726
39,0.9548,0.5069,0.8732,0.6008
40,1.0397,0.4382,0.9032,0.5887
41,0.9649,0.5134,0.8707,0.5847
42,0.9598,0.5192,0.862,0.5685
43,0.9581,0.5112,0.9061,0.5565
44,0.9618,0.5112,0.8689,0.5847
45,0.9487,0.5242,0.92,0.5403
46,0.9712,0.496,0.9981,0.4839
47,0.9556,0.5329,0.8749,0.5685
48,0.9484,0.5307,0.9018,0.5524
49,0.952,0.5069,0.925,0.5484
50,0.9717,0.5177,0.8589,0.5887
