Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,1.068,0.5047,0.8065,0.6411
2,0.9058,0.5698,0.8037,0.621
3,0.8739,0.5857,0.769,0.6613
4,0.8603,0.6197,0.8119,0.6129
5,0.872,0.5828,0.7737,0.6573
6,0.8285,0.6081,0.7628,0.6734
7,0.8463,0.6045,0.7754,0.625
8,0.8506,0.59,0.7937,0.625
9,0.8254,0.6211,0.7824,0.6653
10,0.7987,0.6182,0.7532,0.6492
11,0.7933,0.624,0.7837,0.6089
12,0.8124,0.6211,0.7728,0.6169
13,0.8293,0.6168,0.7943,0.625
14,0.7871,0.6457,0.9228,0.5847
15,0.8101,0.624,0.77,0.621
16,0.8009,0.624,0.789,0.6169
17,0.7781,0.6537,0.7511,0.6532
18,0.7749,0.6356,0.8266,0.6089
19,0.8027,0.6276,0.8092,0.6169
20,0.7768,0.6298,0.8621,0.6048
21,0.7907,0.6305,0.7491,0.6532
22,0.8067,0.624,0.7808,0.6371
23,0.7824,0.6435,0.7908,0.621
24,0.7667,0.6551,0.8107,0.6129
25,0.7791,0.6385,0.7571,0.6371
26,0.7845,0.6312,0.7564,0.6532
27,0.7493,0.6587,0.8001,0.6169
28,0.7916,0.6283,0.7555,0.625
29,0.7569,0.6385,0.7613,0.6573
30,0.7727,0.6377,0.8722,0.5444
31,0.7616,0.6529,0.7696,0.6411
32,0.7566,0.6688,0.785,0.6331
33,0.7785,0.6479,0.787,0.629
34,0.7473,0.6645,0.7933,0.6452
35,0.7794,0.6421,0.8056,0.6371
36,0.7449,0.6573,0.8125,0.6411
37,0.7474,0.6464,0.7503,0.6452
38,0.7377,0.6638,0.8434,0.6048
39,0.748,0.6638,0.7809,0.6089
40,0.7491,0.6638,0.7713,0.6331
41,0.7482,0.6703,0.8043,0.629
42,0.7241,0.6869,0.7839,0.6089
43,0.7109,0.6696,0.8036,0.5726
44,0.7344,0.6537,0.7794,0.6089
45,0.7171,0.6674,0.7704,0.625
46,0.7252,0.6515,0.7445,0.6452
47,0.7118,0.6847,0.8505,0.5766
48,0.7148,0.6768,0.7968,0.5927
49,0.7199,0.6623,0.8689,0.5766
50,0.6758,0.7028,0.7885,0.6129
